sitename,monitordate,itemengname,concentration
陽明,2025-08-01 12:00,RH,99.0
陽明,2025-08-01 12:00,PM2.5,3.0
陽明,2025-08-01 12:00,RAINFALL,14.0
陽明,2025-08-01 12:00,AMB_TEMP,23.1
陽明,2025-08-01 12:00,NO2,
陽明,2025-08-01 12:00,NO,
陽明,2025-08-01 12:00,NOx,
陽明,2025-08-01 12:00,PM10,15.0
陽明,2025-08-01 12:00,O3,39.0
陽明,2025-08-01 12:00,CO,
陽明,2025-08-01 12:00,SO2,
大同,2025-08-01 12:00,WD_HR,
大同,2025-08-01 12:00,WS_HR,
大同,2025-08-01 12:00,RH,65.0
大同,2025-08-01 12:00,PM2.5,12.0
大同,2025-08-01 12:00,CH4,2.11
大同,2025-08-01 12:00,RAINFALL,0.0
大同,2025-08-01 12:00,AMB_TEMP,
大同,2025-08-01 12:00,WIND_DIREC,
大同,2025-08-01 12:00,WIND_SPEED,
大同,2025-08-01 12:00,NMHC,0.2
大同,2025-08-01 12:00,THC,2.31
大同,2025-08-01 12:00,NO2,23.0
大同,2025-08-01 12:00,NO,6.1
大同,2025-08-01 12:00,NOx,29.4
大同,2025-08-01 12:00,PM10,17.0
大同,2025-08-01 12:00,O3,41.0
大同,2025-08-01 12:00,CO,0.6
大同,2025-08-01 12:00,SO2,1.0
松山,2025-08-01 12:00,WD_HR,36.0
松山,2025-08-01 12:00,WS_HR,1.7
松山,2025-08-01 12:00,RH,60.0
松山,2025-08-01 12:00,PM2.5,11.0
松山,2025-08-01 12:00,CH4,1.97
松山,2025-08-01 12:00,RAINFALL,0.0
松山,2025-08-01 12:00,AMB_TEMP,34.1
松山,2025-08-01 12:00,WIND_DIREC,355.0
松山,2025-08-01 12:00,WIND_SPEED,1.6
松山,2025-08-01 12:00,NMHC,0.06
松山,2025-08-01 12:00,THC,2.02
松山,2025-08-01 12:00,NO2,8.0
松山,2025-08-01 12:00,NO,1.2
松山,2025-08-01 12:00,NOx,9.3
松山,2025-08-01 12:00,PM10,13.0
松山,2025-08-01 12:00,O3,49.0
松山,2025-08-01 12:00,CO,0.17
松山,2025-08-01 12:00,SO2,2.3
古亭,2025-08-01 12:00,WD_HR,41.0
古亭,2025-08-01 12:00,WS_HR,0.5
古亭,2025-08-01 12:00,RH,64.0
古亭,2025-08-01 12:00,PM2.5,9.0
古亭,2025-08-01 12:00,CH4,1.99
古亭,2025-08-01 12:00,RAINFALL,0.0
古亭,2025-08-01 12:00,AMB_TEMP,34.0
古亭,2025-08-01 12:00,WIND_DIREC,25.0
古亭,2025-08-01 12:00,WIND_SPEED,0.9
古亭,2025-08-01 12:00,NMHC,0.09
古亭,2025-08-01 12:00,THC,2.08
古亭,2025-08-01 12:00,NO2,10.0
古亭,2025-08-01 12:00,NO,1.1
古亭,2025-08-01 12:00,NOx,11.8
古亭,2025-08-01 12:00,PM10,23.0
古亭,2025-08-01 12:00,O3,61.0
古亭,2025-08-01 12:00,CO,0.27
古亭,2025-08-01 12:00,SO2,1.8
萬華,2025-08-01 12:00,WD_HR,45.0
萬華,2025-08-01 12:00,WS_HR,0.8
萬華,2025-08-01 12:00,RH,60.0
萬華,2025-08-01 12:00,PM2.5,15.0
萬華,2025-08-01 12:00,CH4,2.13
萬華,2025-08-01 12:00,RAINFALL,0.0
萬華,2025-08-01 12:00,AMB_TEMP,33.8
萬華,2025-08-01 12:00,WIND_DIREC,16.0
萬華,2025-08-01 12:00,WIND_SPEED,1.7
萬華,2025-08-01 12:00,NMHC,0.11
萬華,2025-08-01 12:00,THC,2.24
萬華,2025-08-01 12:00,NO2,19.0
萬華,2025-08-01 12:00,NO,2.4
萬華,2025-08-01 12:00,NOx,21.6
萬華,2025-08-01 12:00,PM10,18.0
萬華,2025-08-01 12:00,O3,47.0
萬華,2025-08-01 12:00,CO,0.4
萬華,2025-08-01 12:00,SO2,2.1
中山,2025-08-01 12:00,WD_HR,17.0
中山,2025-08-01 12:00,WS_HR,2.2
中山,2025-08-01 12:00,RH,57.0
中山,2025-08-01 12:00,PM2.5,12.0
中山,2025-08-01 12:00,CH4,2.0
中山,2025-08-01 12:00,RAINFALL,0.0
中山,2025-08-01 12:00,AMB_TEMP,33.0
中山,2025-08-01 12:00,WIND_DIREC,20.0
中山,2025-08-01 12:00,WIND_SPEED,3.8
中山,2025-08-01 12:00,NMHC,0.11
中山,2025-08-01 12:00,THC,2.12
中山,2025-08-01 12:00,NO2,12.0
中山,2025-08-01 12:00,NO,2.2
